date,close,date,high,low,open,quoteVolume,volume,weightedAverage
2015-12-31 16:00:00,8.12e-06,1451577600,8.12e-06,8e-06,8.11e-06,183435.50755625,1.47213448,8.02e-06
2015-12-31 20:00:00,8e-06,1451592000,8.12e-06,8e-06,8.05e-06,691911.19323125,5.54868143,8.01e-06
2016-01-01 00:00:00,7.9e-06,1451606400,8.06e-06,7.9e-06,8e-06,266746.41070052,2.11990655,7.94e-06
2016-01-01 04:00:00,7.87e-06,1451620800,8.1e-06,7.83e-06,7.91e-06,1411631.2339513,11.26774533,7.98e-06
2016-01-01 08:00:00,7.97e-06,1451635200,8.1e-06,7.85e-06,7.9e-06,580570.94813906,4.61316438,7.94e-06
2016-01-01 12:00:00,8.02e-06,1451649600,8.08e-06,7.94e-06,7.94e-06,68792.19183085,0.55049692,8e-06
2016-01-01 16:00:00,7.95e-06,1451664000,8.02e-06,7.87e-06,8.02e-06,277091.24986566,2.18758138,7.89e-06
2016-01-01 20:00:00,7.93e-06,1451678400,8.01e-06,7.89e-06,7.99e-06,130515.97592225,1.03762066,7.95e-06
2016-01-02 00:00:00,7.86e-06,1451692800,7.95e-06,7.83e-06,7.91e-06,248579.98939006,1.95780751,7.87e-06
2016-01-02 04:00:00,7.87e-06,1451707200,7.95e-06,7.85e-06,7.86e-06,124720.06383899,0.98233268,7.87e-06
2016-01-02 08:00:00,8.03e-06,1451721600,8.05e-06,7.86e-06,7.86e-06,281626.31696295,2.25284129,7.99e-06
2016-01-02 12:00:00,7.89e-06,1451736000,8.05e-06,7.89e-06,7.98e-06,106566.38404706,0.84539348,7.93e-06
2016-01-02 16:00:00,7.92e-06,1451750400,7.99e-06,7.83e-06,7.95e-06,127430.87831229,1.00879336,7.91e-06
2016-01-02 20:00:00,7.84e-06,1451764800,8e-06,7.83e-06,8e-06,266816.32209688,2.12556111,7.96e-06
2016-01-03 00:00:00,7.89e-06,1451779200,7.89e-06,7.83e-06,7.83e-06,33770.46164087,0.26643729,7.88e-06
2016-01-03 04:00:00,8e-06,1451793600,8e-06,7.85e-06,7.85e-06,30801.27394665,0.24445834,7.93e-06
2016-01-03 08:00:00,7.9e-06,1451808000,8e-06,7.88e-06,8e-06,50604.12682852,0.40115286,7.92e-06
2016-01-03 12:00:00,8.04e-06,1451822400,8.04e-06,7.83e-06,7.88e-06,633263.53540092,5.01029912,7.91e-06
2016-01-03 16:00:00,7.98e-06,1451836800,8.05e-06,7.91e-06,8.01e-06,586627.5869347,4.69016723,7.99e-06
2016-01-03 20:00:00,7.9e-06,1451851200,8e-06,7.85e-06,8e-06,466355.15478573,3.6928449,7.91e-06
2016-01-04 00:00:00,7.9e-06,1451865600,7.95e-06,7.87e-06,7.9e-06,14043.40658805,0.11102149,7.9e-06
2016-01-04 04:00:00,7.84e-06,1451880000,7.96e-06,7.83e-06,7.95e-06,167822.240524,1.32826706,7.91e-06
2016-01-04 08:00:00,7.89e-06,1451894400,7.96e-06,7.83e-06,7.84e-06,230057.47871703,1.81717756,7.89e-06
2016-01-04 12:00:00,7.86e-06,1451908800,7.96e-06,7.84e-06,7.93e-06,481486.96607683,3.78896277,7.86e-06
2016-01-04 16:00:00,7.83e-06,1451923200,7.94e-06,7.81e-06,7.89e-06,71926.68889021,0.56347798,7.83e-06
2016-01-04 20:00:00,7.81e-06,1451937600,7.88e-06,7.72e-06,7.83e-06,778461.80787365,6.04418002,7.76e-06
2016-01-05 00:00:00,7.81e-06,1451952000,7.86e-06,7.75e-06,7.81e-06,245307.0391671,1.91460507,7.8e-06
2016-01-05 04:00:00,7.83e-06,1451966400,7.86e-06,7.78e-06,7.81e-06,8172.51273544,0.06383432,7.81e-06
2016-01-05 08:00:00,7.83e-06,1451980800,7.89e-06,7.83e-06,7.83e-06,106815.47403168,0.8408982,7.87e-06
2016-01-05 12:00:00,7.85e-06,1451995200,7.9e-06,7.8e-06,7.83e-06,102679.88832609,0.8051221,7.84e-06
2016-01-05 16:00:00,7.88e-06,1452009600,7.9e-06,7.84e-06,7.85e-06,33852.10242577,0.26597709,7.85e-06
2016-01-05 20:00:00,7.76e-06,1452024000,7.88e-06,7.76e-06,7.85e-06,269004.4466894,2.09425564,7.78e-06
2016-01-06 00:00:00,7.67e-06,1452038400,7.8e-06,7.46e-06,7.76e-06,2551041.6616126,19.3997395,7.6e-06
2016-01-06 04:00:00,7.68e-06,1452052800,7.76e-06,7.65e-06,7.67e-06,452075.50977261,3.48331438,7.7e-06
2016-01-06 08:00:00,7.42e-06,1452067200,7.75e-06,7.39e-06,7.68e-06,1245757.7424303,9.34607774,7.5e-06
2016-01-06 12:00:00,7.49e-06,1452081600,7.68e-06,7.37e-06,7.48e-06,671883.62976621,5.0208373,7.47e-06
2016-01-06 16:00:00,7.43e-06,1452096000,7.64e-06,7.33e-06,7.49e-06,1316818.218908,9.78817516,7.43e-06
2016-01-06 20:00:00,7.49e-06,1452110400,7.56e-06,7.43e-06,7.43e-06,517068.77814219,3.89063104,7.52e-06
2016-01-07 00:00:00,6.01e-06,1452124800,7.53e-06,4.01e-06,7.5e-06,15384683.129564,96.91714656,6.29e-06
2016-01-07 04:00:00,5.64e-06,1452139200,6.82e-06,4.88e-06,5.62e-06,52254458.864871,293.76188971,5.62e-06
2016-01-07 08:00:00,6.65e-06,1452153600,6.65e-06,5.45e-06,5.56e-06,13841129.922123,83.86073911,6.05e-06
2016-01-07 12:00:00,6.83e-06,1452168000,6.84e-06,6.37e-06,6.66e-06,8521390.0313477,56.04484486,6.57e-06
2016-01-07 16:00:00,6.21e-06,1452182400,6.8e-06,6.01e-06,6.8e-06,8825830.5730242,55.38136424,6.27e-06
2016-01-07 20:00:00,6.3e-06,1452196800,6.43e-06,6.13e-06,6.27e-06,4270765.0330082,26.56961467,6.22e-06
2016-01-08 00:00:00,6.5e-06,1452211200,6.65e-06,6.26e-06,6.26e-06,3943412.9271046,25.6224213,6.49e-06
2016-01-08 04:00:00,6.77e-06,1452225600,6.86e-06,6.5e-06,6.5e-06,6403719.9833255,42.63810146,6.65e-06
2016-01-08 08:00:00,6.72e-06,1452240000,6.82e-06,6.65e-06,6.73e-06,1591115.3749971,10.69420344,6.72e-06
2016-01-08 12:00:00,6.57e-06,1452254400,6.99e-06,6.17e-06,6.72e-06,7294608.7688202,48.50077693,6.64e-06
2016-01-08 16:00:00,6.46e-06,1452268800,6.7e-06,6.3e-06,6.64e-06,2387327.9109973,15.44897041,6.47e-06
2016-01-08 20:00:00,6.19e-06,1452283200,6.49e-06,5.97e-06,6.42e-06,6299930.5522095,38.93387366,6.18e-06
2016-01-09 00:00:00,7.15e-06,1452297600,7.15e-06,6.1e-06,6.19e-06,7197701.8779274,48.77012684,6.77e-06
2016-01-09 04:00:00,6.99e-06,1452312000,7.26e-06,6.9e-06,7.17e-06,2162011.8635002,15.20084223,7.03e-06
2016-01-09 08:00:00,6.81e-06,1452326400,7.21e-06,6.49e-06,7e-06,5806780.0477335,39.7075672,6.83e-06
2016-01-09 12:00:00,6.89e-06,1452340800,7.09e-06,6.59e-06,6.81e-06,5880005.8885632,39.99763208,6.8e-06
2016-01-09 16:00:00,6.85e-06,1452355200,6.97e-06,6.7e-06,6.88e-06,677063.8393037,4.62348423,6.82e-06
2016-01-09 20:00:00,6.76e-06,1452369600,6.87e-06,6.72e-06,6.85e-06,303475.92773259,2.06128256,6.79e-06
2016-01-10 00:00:00,7.04e-06,1452384000,7.15e-06,6.72e-06,6.76e-06,1572676.7847819,10.94882225,6.96e-06
2016-01-10 04:00:00,6.8e-06,1452398400,7.13e-06,6.7e-06,7.02e-06,2674671.7978823,18.30546203,6.84e-06
2016-01-10 08:00:00,6.85e-06,1452412800,6.99e-06,6.78e-06,6.8e-06,2148832.9498195,14.7424583,6.86e-06
2016-01-10 12:00:00,6.8e-06,1452427200,6.96e-06,6.76e-06,6.91e-06,1069197.4973287,7.33831354,6.86e-06
2016-01-10 16:00:00,6.72e-06,1452441600,6.91e-06,6.69e-06,6.91e-06,833127.18028598,5.63766761,6.76e-06
2016-01-10 20:00:00,6.62e-06,1452456000,6.74e-06,6.5e-06,6.72e-06,2708164.044007,17.92167519,6.61e-06
2016-01-11 00:00:00,6.77e-06,1452470400,6.79e-06,6.56e-06,6.64e-06,2946258.2939127,19.71382648,6.69e-06
2016-01-11 04:00:00,6.8e-06,1452484800,6.82e-06,6.59e-06,6.77e-06,1927405.4924041,12.94372923,6.71e-06
2016-01-11 08:00:00,6.75e-06,1452499200,6.82e-06,6.66e-06,6.73e-06,3150257.073078,21.37113183,6.78e-06
2016-01-11 12:00:00,6.77e-06,1452513600,6.89e-06,6.17e-06,6.75e-06,8607381.0310216,56.91204152,6.61e-06
2016-01-11 16:00:00,6.65e-06,1452528000,6.77e-06,6.55e-06,6.77e-06,1120986.8828617,7.40462677,6.6e-06
2016-01-11 20:00:00,6.6e-06,1452542400,6.67e-06,6.5e-06,6.65e-06,713300.6239219,4.68596461,6.56e-06
2016-01-12 00:00:00,6.82e-06,1452556800,6.82e-06,6.6e-06,6.6e-06,1415020.0260015,9.5358714,6.73e-06
2016-01-12 04:00:00,6.9e-06,1452571200,6.95e-06,6.75e-06,6.81e-06,1915423.9440246,13.13847504,6.85e-06
2016-01-12 08:00:00,6.92e-06,1452585600,7.08e-06,6.77e-06,6.9e-06,4037228.1460018,27.91798695,6.91e-06
2016-01-12 12:00:00,7.02e-06,1452600000,7.47e-06,6.92e-06,6.92e-06,5617759.2585279,40.52647994,7.21e-06
2016-01-12 16:00:00,6.92e-06,1452614400,7.03e-06,6.83e-06,7.02e-06,1917940.8862711,13.2524104,6.9e-06
2016-01-12 20:00:00,7.07e-06,1452628800,7.07e-06,6.87e-06,6.98e-06,838726.01808393,5.8586193,6.98e-06
2016-01-13 00:00:00,7.12e-06,1452643200,7.35e-06,7.01e-06,7.08e-06,1459114.6436817,10.49914662,7.19e-06
2016-01-13 04:00:00,7.24e-06,1452657600,7.24e-06,7.11e-06,7.18e-06,2415364.4818749,17.33672184,7.17e-06
2016-01-13 08:00:00,7.25e-06,1452672000,7.3e-06,7.12e-06,7.21e-06,1302951.1553395,9.40164923,7.21e-06
2016-01-13 12:00:00,7.25e-06,1452686400,7.3e-06,7.01e-06,7.25e-06,3659543.1104796,26.21995995,7.16e-06
2016-01-13 16:00:00,7.4e-06,1452700800,7.41e-06,7.15e-06,7.2e-06,1166000.3720823,8.53383729,7.31e-06
2016-01-13 20:00:00,7.45e-06,1452715200,7.46e-06,7.25e-06,7.4e-06,2636904.9865317,19.44083328,7.37e-06
2016-01-14 00:00:00,7.71e-06,1452729600,8.25e-06,7.33e-06,7.44e-06,4774162.5139688,36.84574026,7.71e-06
2016-01-14 04:00:00,7.35e-06,1452744000,7.77e-06,7.26e-06,7.72e-06,3464683.2419993,25.72317865,7.42e-06
2016-01-14 08:00:00,7.55e-06,1452758400,7.61e-06,7.33e-06,7.37e-06,1198395.422195,8.92027561,7.44e-06
2016-01-14 12:00:00,7.75e-06,1452772800,7.78e-06,7.43e-06,7.58e-06,1690223.5618817,12.95887588,7.66e-06
2016-01-14 16:00:00,7.68e-06,1452787200,7.75e-06,7.6e-06,7.71e-06,600364.02930297,4.600226,7.66e-06
2016-01-14 20:00:00,7.46e-06,1452801600,7.72e-06,7.26e-06,7.67e-06,3540683.0483083,26.3508688,7.44e-06
2016-01-15 00:00:00,7.44e-06,1452816000,7.59e-06,7.3e-06,7.48e-06,787643.98373484,5.85962497,7.43e-06
2016-01-15 04:00:00,7.54e-06,1452830400,7.56e-06,7.4e-06,7.47e-06,2526850.9190224,18.88830974,7.47e-06
2016-01-15 08:00:00,7.6e-06,1452844800,7.77e-06,7.45e-06,7.54e-06,2086650.0289884,15.89061956,7.61e-06
2016-01-15 12:00:00,7.87e-06,1452859200,7.94e-06,7.6e-06,7.62e-06,3685744.8134343,28.61895136,7.76e-06
2016-01-15 16:00:00,7.7e-06,1452873600,8.27e-06,7.43e-06,7.94e-06,8776862.8907954,68.76043517,7.83e-06
2016-01-15 20:00:00,8.3e-06,1452888000,8.3e-06,7.57e-06,7.67e-06,4042395.1159689,31.91319699,7.89e-06
2016-01-16 00:00:00,8.22e-06,1452902400,8.31e-06,8.01e-06,8.3e-06,2303130.5963458,18.83462046,8.17e-06
2016-01-16 04:00:00,8.35e-06,1452916800,8.49e-06,8.02e-06,8.18e-06,3092446.5178051,25.59031844,8.27e-06
2016-01-16 08:00:00,8.1e-06,1452931200,8.42e-06,8.03e-06,8.38e-06,3624291.196983,29.57835173,8.16e-06
2016-01-16 12:00:00,8.41e-06,1452945600,8.5e-06,8.04e-06,8.07e-06,4479726.7449643,37.39532383,8.34e-06
2016-01-16 16:00:00,8.05e-06,1452960000,8.55e-06,7.98e-06,8.41e-06,8944438.2669338,74.01081197,8.27e-06
2016-01-16 20:00:00,7.95e-06,1452974400,8.03e-06,6.39e-06,8.03e-06,8109579.4780739,61.49577618,7.58e-06
2016-01-17 00:00:00,7.88e-06,1452988800,7.97e-06,7.31e-06,7.91e-06,5537861.9530679,42.54419766,7.68e-06
2016-01-17 04:00:00,8.01e-06,1453003200,8.21e-06,7.74e-06,7.86e-06,2197497.9355626,17.47850881,7.95e-06
2016-01-17 08:00:00,8.09e-06,1453017600,8.13e-06,7.97e-06,8e-06,731230.07724749,5.89116847,8.05e-06
2016-01-17 12:00:00,7.77e-06,1453032000,8.09e-06,7.67e-06,8.03e-06,2699786.876043,21.11644689,7.82e-06
2016-01-17 16:00:00,7.84e-06,1453046400,7.93e-06,7.69e-06,7.82e-06,1242622.6102879,9.67839286,7.78e-06
2016-01-17 20:00:00,7.82e-06,1453060800,7.92e-06,7.68e-06,7.84e-06,687655.88746652,5.38284328,7.82e-06
2016-01-18 00:00:00,7.83e-06,1453075200,7.96e-06,7.75e-06,7.86e-06,1275817.8875083,9.96039632,7.8e-06
2016-01-18 04:00:00,7.95e-06,1453089600,8e-06,7.79e-06,7.9e-06,1883153.8188816,15.0014872,7.96e-06
2016-01-18 08:00:00,7.87e-06,1453104000,7.97e-06,7.87e-06,7.97e-06,217981.8166177,1.72618134,7.91e-06
2016-01-18 12:00:00,7.93e-06,1453118400,7.96e-06,7.61e-06,7.91e-06,3332715.3982136,25.95200988,7.78e-06
2016-01-18 16:00:00,7.89e-06,1453132800,7.94e-06,7.77e-06,7.93e-06,1479013.3846016,11.57243458,7.82e-06
2016-01-18 20:00:00,7.78e-06,1453147200,7.9e-06,7.76e-06,7.9e-06,1783654.8249572,13.92859099,7.8e-06
2016-01-19 00:00:00,7.7e-06,1453161600,7.97e-06,7.6e-06,7.8e-06,4406503.1466317,34.28236358,7.77e-06
2016-01-19 04:00:00,7.89e-06,1453176000,7.89e-06,7.7e-06,7.78e-06,441842.59245436,3.46377068,7.83e-06
2016-01-19 08:00:00,7.95e-06,1453190400,7.98e-06,7.86e-06,7.92e-06,209739.44209283,1.66565986,7.94e-06
2016-01-19 12:00:00,7.98e-06,1453204800,8.03e-06,7.87e-06,7.94e-06,1726386.2872434,13.77368232,7.97e-06
2016-01-19 16:00:00,8.09e-06,1453219200,8.1e-06,7.94e-06,7.98e-06,891788.54156827,7.14281298,8e-06
