date,close,date,high,low,open,quoteVolume,volume,weightedAverage
2015-12-31 16:00:00,3.369e-05,1451577600,3.43e-05,3.222e-05,3.269e-05,128025.69373762,4.28268293,3.345e-05
2015-12-31 20:00:00,3.38e-05,1451592000,3.38e-05,3.295e-05,3.369e-05,15260.21891271,0.51425278,3.369e-05
2016-01-01 00:00:00,3.408e-05,1451606400,3.42e-05,3.339e-05,3.38e-05,118897.54120745,4.03225564,3.391e-05
2016-01-01 04:00:00,3.339e-05,1451620800,3.406e-05,3.339e-05,3.406e-05,18922.60346294,0.63203043,3.34e-05
2016-01-01 08:00:00,3.36e-05,1451635200,3.379e-05,3.3e-05,3.379e-05,34636.12129463,1.17027594,3.378e-05
2016-01-01 12:00:00,3.39e-05,1451649600,3.39e-05,3.299e-05,3.36e-05,5322.03892548,0.17584908,3.304e-05
2016-01-01 16:00:00,3.311e-05,1451664000,3.413e-05,3.311e-05,3.389e-05,136543.53249801,4.56632025,3.344e-05
2016-01-01 20:00:00,3.317e-05,1451678400,3.391e-05,3.208e-05,3.312e-05,83119.21288593,2.72649502,3.28e-05
2016-01-02 00:00:00,3.313e-05,1451692800,3.317e-05,3.313e-05,3.317e-05,1783.09398272,0.05907392,3.313e-05
2016-01-02 04:00:00,3.327e-05,1451707200,3.344e-05,3.264e-05,3.313e-05,41116.64134582,1.36844444,3.328e-05
2016-01-02 08:00:00,3.383e-05,1451721600,3.396e-05,3.328e-05,3.328e-05,15561.4627863,0.52461529,3.371e-05
2016-01-02 12:00:00,3.449e-05,1451736000,3.449e-05,3.376e-05,3.38e-05,33297.36314342,1.14427883,3.436e-05
2016-01-02 16:00:00,3.382e-05,1451750400,3.449e-05,3.316e-05,3.448e-05,19678.65858269,0.67012931,3.405e-05
2016-01-02 20:00:00,3.389e-05,1451764800,3.398e-05,3.273e-05,3.38e-05,52992.77556556,1.75755296,3.316e-05
2016-01-03 00:00:00,3.354e-05,1451779200,3.387e-05,3.306e-05,3.387e-05,214.49349521,0.00722817,3.369e-05
2016-01-03 04:00:00,3.365e-05,1451793600,3.367e-05,3.328e-05,3.352e-05,1171.69078973,0.03903499,3.331e-05
2016-01-03 08:00:00,3.351e-05,1451808000,3.367e-05,3.329e-05,3.367e-05,1831.89762093,0.06112488,3.336e-05
2016-01-03 12:00:00,3.449e-05,1451822400,3.449e-05,3.351e-05,3.351e-05,98327.36759839,3.37979975,3.437e-05
2016-01-03 16:00:00,3.483e-05,1451836800,3.483e-05,3.351e-05,3.449e-05,130781.05829796,4.46632794,3.415e-05
2016-01-03 20:00:00,3.49e-05,1451851200,3.501e-05,3.352e-05,3.352e-05,286660.90941537,10.01034336,3.492e-05
2016-01-04 00:00:00,3.49e-05,1451865600,3.49e-05,3.382e-05,3.49e-05,9633.39962575,0.32767941,3.401e-05
2016-01-04 04:00:00,3.501e-05,1451880000,3.501e-05,3.409e-05,3.49e-05,69225.80064642,2.42275975,3.499e-05
2016-01-04 08:00:00,3.501e-05,1451894400,3.501e-05,3.419e-05,3.5e-05,28566.9603321,0.99973471,3.499e-05
2016-01-04 12:00:00,3.579e-05,1451908800,3.58e-05,3.415e-05,3.5e-05,225302.83080913,7.89616669,3.504e-05
2016-01-04 16:00:00,3.578e-05,1451923200,3.699e-05,3.52e-05,3.579e-05,151577.16166304,5.50904828,3.634e-05
2016-01-04 20:00:00,3.423e-05,1451937600,3.7e-05,3.423e-05,3.578e-05,358488.68586012,12.78220417,3.565e-05
2016-01-05 00:00:00,3.556e-05,1451952000,3.569e-05,3.403e-05,3.424e-05,16761.19022388,0.58262877,3.476e-05
2016-01-05 04:00:00,3.547e-05,1451966400,3.553e-05,3.455e-05,3.553e-05,8011.29890651,0.28214369,3.521e-05
2016-01-05 08:00:00,3.566e-05,1451980800,3.569e-05,3.407e-05,3.556e-05,55245.77880375,1.9387271,3.509e-05
