Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,7.5,8.9,7.45,8.75,8.702064,861700
2017-01-04,8.7,8.9,8.5,8.85,8.82168,586700
2017-01-05,8.75,8.8,8.25,8.3,8.273439999999999,380300
2017-01-06,8.45,8.85,8.3,8.65,8.622319000000001,279900
2017-01-09,8.6,8.7,8.13,8.25,8.2236,239000
2017-01-10,8.25,8.4,8.1,8.15,8.123919,261300
2017-01-11,8.2,8.7,8.1,8.7,8.67216,288300
2017-01-12,9.0,9.25,8.75,9.15,9.12072,425500
2017-01-13,9.15,9.61,8.91,9.45,9.41976,459900
2017-01-17,9.3,9.45,8.65,8.65,8.622319000000001,347700
2017-01-18,8.55,8.8,8.55,8.7,8.67216,313600
2017-01-19,8.75,9.05,8.3,8.45,8.42296,257500
2017-01-20,8.5,8.71,8.35,8.65,8.622319000000001,288800
2017-01-23,8.65,8.7,8.2,8.35,8.32328,340000
2017-01-24,8.5,8.55,8.15,8.2,8.173759,641600
2017-01-25,8.35,8.7,8.25,8.6,8.57248,354100
2017-01-26,8.55,8.7,8.05,8.1,8.07408,293400
2017-01-27,8.1,8.2,8.0,8.05,8.024239999999999,265600
2017-01-30,7.95,8.1,7.4,7.85,7.82488,396500
2017-01-31,7.85,7.85,7.3,7.6,7.57568,358000
2017-02-01,7.65,7.75,7.4,7.4,7.37632,333600
2017-02-02,8.15,9.15,8.15,8.45,8.42296,1116900
2017-02-03,8.4,9.1,8.35,8.95,8.92136,716400
2017-02-06,8.9,9.04,8.5,8.8,8.77184,529200
2017-02-07,8.75,8.8,8.19,8.2,8.173759,417500
2017-02-08,8.15,8.15,7.79,7.95,7.9245600000000005,386000
2017-02-09,8.0,8.15,7.45,7.5,7.476,363900
2017-02-10,7.9,8.3,7.9,8.3,8.273439999999999,612100
2017-02-13,8.35,8.85,8.35,8.75,8.722,741700
2017-02-14,8.65,9.5,8.6,9.0,8.9712,1042500
2017-02-15,8.95,9.25,8.8,9.0,8.9712,510700
2017-02-16,8.95,9.1,8.6,8.95,8.92136,365900
2017-02-17,8.9,9.0,8.6,9.0,8.9712,459000
2017-02-21,9.0,9.15,8.95,9.0,8.9712,347400
2017-02-22,8.8,8.9,8.5,8.65,8.622319000000001,416800
2017-02-23,8.7,8.75,8.13,8.35,8.32328,413300
2017-02-24,8.1,8.3,7.9,8.1,8.07408,358500
2017-02-27,8.1,8.63,8.1,8.55,8.522639999999999,390000
2017-02-28,8.45,8.65,8.0,8.05,8.024239999999999,477700
2017-03-01,8.35,8.65,8.3,8.5,8.4728,297400
2017-03-02,8.8,9.2,8.8,9.0,8.9712,743600
2017-03-03,9.05,9.2,8.75,9.15,9.12072,342700
2017-03-06,9.1,9.1,8.55,8.65,8.622319000000001,238500
2017-03-07,8.7,8.7,8.45,8.45,8.42296,364200
2017-03-08,8.6,8.7,8.5,8.6,8.57248,210300
2017-03-09,8.6,8.65,8.1,8.4,8.373119,369500
2017-03-10,8.45,8.45,8.1,8.15,8.123919,350000
2017-03-13,8.2,8.35,8.1,8.1,8.07408,231100
2017-03-14,8.05,8.1,7.75,7.85,7.82488,356000
2017-03-15,7.85,8.35,7.8,8.25,8.2236,281900
2017-03-16,8.35,8.35,7.75,7.85,7.82488,339100
2017-03-17,7.9,7.9,7.55,7.55,7.52584,843900
2017-03-20,7.55,7.6,7.15,7.15,7.12712,624700
